Team,R32,R16,R8,R4,R2,R1
Kentucky,1,0.94,0.883,0.843,0.714,0.74
Villanova,1,0.88,0.841,0.716,0.679,0.444
Arizona,1,0.81,0.889,0.653,0.383,0.556
Wisconsin,1,0.88,0.727,0.5,0.469,0.6
Duke,1,0.85,0.671,0.667,0.5,0.368
Virginia,1,0.72,0.722,0.442,0.609,0.429
Gonzaga,1,0.73,0.795,0.466,0.37,0.3
Kansas,1,0.57,0.544,0.258,0.375,0.333
Notre Dame,1,0.62,0.516,0.25,0.375,0.333
Utah,1,0.71,0.394,0.536,0.333,0.2
N. Carolina,1,0.67,0.343,0.348,0.25,0.5
Oklahoma,1,0.62,0.371,0.304,0.429,0.167
Iowa,1,0.27,0.741,0.4,0.375,0.167
Michigan St.,1,0.28,0.571,0.313,0.6,0.167
Wichita St.,1,0.43,0.488,0.19,0.25,0.5
Ohio St.,1,0.19,0.632,0.333,0.25,0.5
Butler,1,0.38,0.421,0.188,0.333,0.5
Northern Iowa,1,0.55,0.2,0.364,0.5,0.25
Xavier,1,0.7,0.186,0.308,0.25,0.5
Louisville,1,0.45,0.2,0.333,0.333,0.5
West Virginia,1,0.53,0.151,0.5,0.25,0.5
Georgetown,1,0.29,0.31,0.444,0.25,0.5
Maryland,1,0.47,0.128,0.5,0.167,0.1
Arkansas,1,0.33,0.242,0.25,0.25,0.1
S. Diego St.,1,0.15,0.467,0.429,0.167,0.1
Dayton,1,0.38,0.237,0.222,0.25,0.1
N.C. State,1,0.12,0.5,0.333,0.25,0.1
Cincinnati,1,0.06,0.5,0.333,0.5,0.1
UCLA,1,0.67,0.254,0.235,0.125,0.1
Oregon,1,0.12,0.417,0.2,0.5,0.1
Georgia St.,1,0.3,0.1,0.167,0.1,0.1
UAB,1,0.33,0.121,0.125,0.1,0.1
Iowa St.,0,0,0,0,0,0
Baylor,0,0,0,0,0,0
Providence,0,0,0,0,0,0
SMU,0,0,0,0,0,0
Virginia Commonwealth,0,0,0,0,0,0
Louisiana St.,0,0,0,0,0,0
Oklahoma St.,0,0,0,0,0,0
Purdue,0,0,0,0,0,0
St. John's,0,0,0,0,0,0
Georgia,0,0,0,0,0,0
Indiana,0,0,0,0,0,0
Davidson,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0
Texas,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0
Stephen F. Austin,0,0,0,0,0,0
Wofford,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0
Harvard,0,0,0,0,0,0
UC Irvine,0,0,0,0,0,0
Eastern Washington,0,0,0,0,0,0
Valparaiso,0,0,0,0,0,0
Northeastern,0,0,0,0,0,0
Albany,0,0,0,0,0,0
New Mexico St.,0,0,0,0,0,0
Belmont,0,0,0,0,0,0
N. Dak. St.,0,0,0,0,0,0
Texas Southern,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0
Coastal Carolina,0,0,0,0,0,0
Hampton,0,0,0,0,0,0
RMU,0,0,0,0,0,0
Boise St.,0,0,0,0,0,0
BYU,0,0,0,0,0,0
Manhattan,0,0,0,0,0,0
UNF,0,0,0,0,0,0
