Team,R32,R16,R8,R4,R2,R1
Kentucky,1,1,0.87,0.839,0.712,0.788
Arizona,1,1,0.87,0.69,0.383,0.652
Duke,1,1,0.66,0.682,0.689,0.387
Wisconsin,1,1,0.69,0.406,0.429,0.667
Michigan St.,1,1,0.54,0.611,0.455,0.267
Gonzaga,1,1,0.76,0.447,0.559,0.316
Oklahoma,1,1,0.46,0.587,0.407,0.273
Utah,1,1,0.34,0.559,0.526,0.2
Louisville,1,1,0.55,0.418,0.391,0.222
Notre Dame,1,1,0.53,0.208,0.364,0.5
Wichita St.,1,1,0.47,0.191,0.333,0.667
Iowa,1,0,0,0,0,0
N. Carolina,1,1,0.31,0.258,0.25,0.5
N.C. State,1,1,0.45,0.378,0.294,0.1
West Virginia,1,1,0.13,0.462,0.333,0.25
Xavier,1,1,0.13,0.308,0.25,0.5
UCLA,1,1,0.27,0.222,0.333,0.25
Villanova,1, -   , -   , -   , -   , -   
Virginia,1, -   , -   , -   , -   , -   
Kansas,1, -   , -   , -   , -   , -   
Georgetown,1, -   , -   , -   , -   , -   
Maryland,1, -   , -   , -   , -   , -   
Arkansas,1, -   , -   , -   , -   , -   
N. Iowa,1, -   , -   , -   , -   , -   
Butler,1, -   , -   , -   , -   , -   
San Diego St.,1, -   , -   , -   , -   , -   
Cincinnati,1, -   , -   , -   , -   , -   
Oregon,1, -   , -   , -   , -   , -   
Ohio St.,1, -   , -   , -   , -   , -   
Dayton,1, -   , -   , -   , -   , -   
UAB,1, -   , -   , -   , -   , -   
Georgia St.,1, -   , -   , -   , -   , -   
Iowa St., -   , -   , -   , -   , -   , -   
Baylor, -   , -   , -   , -   , -   , -   
Providence, -   , -   , -   , -   , -   , -   
SMU, -   , -   , -   , -   , -   , -   
Virginia Commonwealth, -   , -   , -   , -   , -   , -   
Louisiana St., -   , -   , -   , -   , -   , -   
Oklahoma St., -   , -   , -   , -   , -   , -   
Purdue, -   , -   , -   , -   , -   , -   
St. John's, -   , -   , -   , -   , -   , -   
Georgia, -   , -   , -   , -   , -   , -   
Indiana, -   , -   , -   , -   , -   , -   
Davidson, -   , -   , -   , -   , -   , -   
Mississippi, -   , -   , -   , -   , -   , -   
Texas, -   , -   , -   , -   , -   , -   
Buffalo, -   , -   , -   , -   , -   , -   
Stephen F. Austin, -   , -   , -   , -   , -   , -   
Wofford, -   , -   , -   , -   , -   , -   
Wyoming, -   , -   , -   , -   , -   , -   
Harvard, -   , -   , -   , -   , -   , -   
UC Irvine, -   , -   , -   , -   , -   , -   
Eastern Washington, -   , -   , -   , -   , -   , -   
Valparaiso, -   , -   , -   , -   , -   , -   
Northeastern, -   , -   , -   , -   , -   , -   
Albany, -   , -   , -   , -   , -   , -   
New Mexico St., -   , -   , -   , -   , -   , -   
Belmont, -   , -   , -   , -   , -   , -   
N. Dakota St., -   , -   , -   , -   , -   , -   
Texas Southern, -   , -   , -   , -   , -   , -   
Lafayette, -   , -   , -   , -   , -   , -   
Coastal Carolina, -   , -   , -   , -   , -   , -   
Hampton, -   , -   , -   , -   , -   , -   
RMU, -   , -   , -   , -   , -   , -   
Boise St., -   , -   , -   , -   , -   , -   
BYU, -   , -   , -   , -   , -   , -   
Manhattan, -   , -   , -   , -   , -   , -   
UNF, -   , -   , -   , -   , -   , -   
