 Team , R32 , R16 , R8 , R4 , R2 , R1 
 Kentucky ,1.0000,0.9400,0.9149,0.8488,0.7397,0.7593
 Villanova ,0.9800,0.8571,0.8333,0.6571,0.6304,0.3793
 Arizona ,0.9900,0.8283,0.8537,0.6571,0.3696,0.5882
 Wisconsin ,0.9800,0.8673,0.7412,0.5079,0.4688,0.6667
 Virginia ,0.9600,0.7604,0.7260,0.5094,0.6296,0.4118
 Duke ,0.9800,0.8571,0.6667,0.5893,0.5152,0.3529
 Gonzaga ,0.9700,0.8247,0.5875,0.5106,0.4167,0.3000
 Iowa St. ,0.9100,0.7033,0.5000,0.4688,0.4667,0.2857
 Notre Dame ,0.9000,0.6333,0.5614,0.2500,0.3750,0.3333
 Utah ,0.8200,0.7561,0.4355,0.4815,0.3846,0.2000
 N. Carolina ,0.8600,0.7209,0.3710,0.3478,0.2500,0.5000
 Oklahoma ,0.9000,0.6444,0.3793,0.3636,0.5000,0.2500
 Kansas ,0.8900,0.5955,0.5283,0.2143,0.3333,0.5000
 Michigan St. ,0.6200,0.2903,0.5556,0.4000,0.5000,0.2500
 Wichita St. ,0.7200,0.5000,0.4722,0.1765,0.3333,0.5000
 Louisville ,0.7400,0.5541,0.2683,0.3636,0.5000,0.2500
 Baylor ,0.7600,0.6184,0.2553,0.4167,0.2000,0.5000
 Ohio St. ,0.6400,0.2031,0.5385,0.4286,0.1667,0.1000
 Northern Iowa ,0.7500,0.5600,0.2381,0.4000,0.2500,0.5000
 West Virginia ,0.6800,0.5735,0.1282,0.6000,0.1667,0.1000
 SMU ,0.6400,0.3750,0.4167,0.4000,0.2500,0.5000
 Texas ,0.5400,0.4259,0.4783,0.1818,0.2500,0.1000
 Butler ,0.4600,0.3913,0.4444,0.1250,0.5000,0.1000
 Georgetown ,0.7700,0.3377,0.3077,0.3750,0.1667,0.1000
 Maryland ,0.7200,0.5278,0.1316,0.4000,0.2500,0.1000
 Iowa ,0.6200,0.2258,0.4286,0.3333,0.2500,0.1000
 Arkansas ,0.7600,0.3684,0.2857,0.2500,0.2500,0.1000
 Providence ,0.5100,0.4118,0.3333,0.2857,0.2500,0.1000
 Xavier ,0.5700,0.4737,0.1852,0.2000,0.5000,0.1000
 N.C. State ,0.5900,0.1695,0.6000,0.3333,0.2500,0.1000
 Cincinnati ,0.5400,0.0556,0.6667,0.2500,0.1000,0.1000
 S. Diego St. ,0.5800,0.1724,0.4000,0.5000,0.2500,0.1000
 Dayton ,0.4900,0.3878,0.2105,0.2500,0.5000,0.1000
 Indiana ,0.2800,0.3214,0.3333,0.1667,0.1000,0.1000
 Purdue ,0.4600,0.0652,0.3333,0.5000,0.1000,0.1000
 Georgia ,0.3800,0.2105,0.3750,0.1667,0.1000,0.1000
 Oklahoma St. ,0.5900,0.1695,0.4000,0.1250,0.1000,0.1000
 VCU ,0.3600,0.1389,0.4000,0.2500,0.1000,0.1000
 LSU ,0.4100,0.1220,0.4000,0.2500,0.1000,0.1000
 Davidson ,0.3800,0.1579,0.3333,0.2500,0.1000,0.1000
 Mississippi ,0.4300,0.4186,0.1667,0.1667,0.1000,0.1000
 S.F. Austin ,0.1800,0.4444,0.3750,0.1667,0.1000,0.1000
 UCLA ,0.3600,0.2500,0.3333,0.1667,0.1000,0.1000
 Buffalo ,0.3200,0.4063,0.0769,0.5000,0.1000,0.1000
 Oregon ,0.4100,0.1220,0.4000,0.2500,0.1000,0.1000
 St. John's ,0.4200,0.1190,0.4000,0.2500,0.1000,0.1000
 Valparaiso ,0.2800,0.3571,0.0500,0.1000,0.1000,0.1000
 Georgia St. ,0.2400,0.3750,0.0556,0.1000,0.1000,0.1000
 Harvard ,0.1400,0.3571,0.1000,0.1000,0.1000,0.1000
 Wyoming ,0.2500,0.3200,0.0625,0.1000,0.1000,0.1000
 UC Irvine ,0.2600,0.3077,0.0625,0.1000,0.1000,0.1000
 Wofford ,0.2400,0.1667,0.1250,0.1000,0.1000,0.1000
 N. Mex. St. ,0.1100,0.1818,0.2500,0.1000,0.1000,0.1000
 UAB ,0.0900,0.2222,0.2500,0.1000,0.1000,0.1000
 Albany ,0.1000,0.2000,0.2500,0.1000,0.1000,0.1000
 Northeastern ,0.1000,0.2000,0.2500,0.1000,0.1000,0.1000
 Belmont ,0.0400,0.1250,0.1000,0.1000,0.1000,0.1000
 Eastern Wash. ,0.2300,0.1304,0.1667,0.1000,0.1000,0.1000
 N. Dak. St. ,0.0300,0.1667,0.1000,0.1000,0.1000,0.1000
 Robert Morris ,0.0200,0.2500,0.1000,0.1000,0.1000,0.1000
 Lafayette ,0.0200,0.2500,0.1000,0.1000,0.1000,0.1000
 Coastal Car. ,0.0200,0.2500,0.1000,0.1000,0.1000,0.1000
 Texas Southern ,0.0050,0.1000,0.1000,0.1000,0.1000,0.1000
 Hampton ,0.0050,0.1000,0.1000,0.1000,0.1000,0.1000
