"","Bracket","Picks","Round","Game"
"1","Brackem Brackem Brackem Brack!","Kentucky",32,"G1"
"2","Brackem Brackem Brackem Brack!","Cincinnati",32,"G2"
"3","Brackem Brackem Brackem Brack!","West Virginia",32,"G3"
"4","Brackem Brackem Brackem Brack!","Maryland",32,"G4"
"5","Brackem Brackem Brackem Brack!","Texas",32,"G5"
"6","Brackem Brackem Brackem Brack!","Notre Dame",32,"G6"
"7","Brackem Brackem Brackem Brack!","Wichita St.",32,"G7"
"8","Brackem Brackem Brackem Brack!","Kansas",32,"G8"
"9","Brackem Brackem Brackem Brack!","Wisconsin",32,"G9"
"10","Brackem Brackem Brackem Brack!","Oklahoma St.",32,"G10"
"11","Brackem Brackem Brackem Brack!","Arkansas",32,"G11"
"12","Brackem Brackem Brackem Brack!","N. Carolina",32,"G12"
"13","Brackem Brackem Brackem Brack!","Xavier",32,"G13"
"14","Brackem Brackem Brackem Brack!","Georgia St.",32,"G14"
"15","Brackem Brackem Brackem Brack!","VCU",32,"G15"
"16","Brackem Brackem Brackem Brack!","Arizona",32,"G16"
"17","Brackem Brackem Brackem Brack!","Villanova",32,"G17"
"18","Brackem Brackem Brackem Brack!","N.C. State",32,"G18"
"19","Brackem Brackem Brackem Brack!","Northern Iowa",32,"G19"
"20","Brackem Brackem Brackem Brack!","Louisville",32,"G20"
"21","Brackem Brackem Brackem Brack!","Dayton",32,"G21"
"22","Brackem Brackem Brackem Brack!","Oklahoma",32,"G22"
"23","Brackem Brackem Brackem Brack!","Michigan St.",32,"G23"
"24","Brackem Brackem Brackem Brack!","Virginia",32,"G24"
"25","Brackem Brackem Brackem Brack!","Duke",32,"G25"
"26","Brackem Brackem Brackem Brack!","S. Diego St.",32,"G26"
"27","Brackem Brackem Brackem Brack!","Utah",32,"G27"
"28","Brackem Brackem Brackem Brack!","Georgetown",32,"G28"
"29","Brackem Brackem Brackem Brack!","UCLA",32,"G29"
"30","Brackem Brackem Brackem Brack!","Iowa St.",32,"G30"
"31","Brackem Brackem Brackem Brack!","Iowa",32,"G31"
"32","Brackem Brackem Brackem Brack!","Gonzaga",32,"G32"
"33","Brackem Brackem Brackem Brack!","Kentucky",16,"G33"
"34","Brackem Brackem Brackem Brack!","Maryland",16,"G34"
"35","Brackem Brackem Brackem Brack!","Notre Dame",16,"G35"
"36","Brackem Brackem Brackem Brack!","Kansas",16,"G36"
"37","Brackem Brackem Brackem Brack!","Wisconsin",16,"G37"
"38","Brackem Brackem Brackem Brack!","Arkansas",16,"G38"
"39","Brackem Brackem Brackem Brack!","Xavier",16,"G39"
"40","Brackem Brackem Brackem Brack!","Arizona",16,"G40"
"41","Brackem Brackem Brackem Brack!","Villanova",16,"G41"
"42","Brackem Brackem Brackem Brack!","Louisville",16,"G42"
"43","Brackem Brackem Brackem Brack!","Oklahoma",16,"G43"
"44","Brackem Brackem Brackem Brack!","Virginia",16,"G44"
"45","Brackem Brackem Brackem Brack!","Duke",16,"G45"
"46","Brackem Brackem Brackem Brack!","Utah",16,"G46"
"47","Brackem Brackem Brackem Brack!","UCLA",16,"G47"
"48","Brackem Brackem Brackem Brack!","Iowa",16,"G48"
"49","Brackem Brackem Brackem Brack!","Kentucky",8,"G49"
"50","Brackem Brackem Brackem Brack!","Notre Dame",8,"G50"
"51","Brackem Brackem Brackem Brack!","Wisconsin",8,"G51"
"52","Brackem Brackem Brackem Brack!","Arizona",8,"G52"
"53","Brackem Brackem Brackem Brack!","Villanova",8,"G53"
"54","Brackem Brackem Brackem Brack!","Virginia",8,"G54"
"55","Brackem Brackem Brackem Brack!","Duke",8,"G55"
"56","Brackem Brackem Brackem Brack!","Iowa",8,"G56"
"57","Brackem Brackem Brackem Brack!","Kentucky",4,"G57"
"58","Brackem Brackem Brackem Brack!","Wisconsin",4,"G58"
"59","Brackem Brackem Brackem Brack!","Villanova",4,"G59"
"60","Brackem Brackem Brackem Brack!","Duke",4,"G60"
"61","Brackem Brackem Brackem Brack!","Kentucky",2,"G61"
"62","Brackem Brackem Brackem Brack!","Villanova",2,"G62"
"63","Brackem Brackem Brackem Brack!","Kentucky",1,"G63"
"64","Chalupa Batman's Bracket","Kentucky",32,"G1"
"65","Chalupa Batman's Bracket","Purdue",32,"G2"
"66","Chalupa Batman's Bracket","Buffalo",32,"G3"
"67","Chalupa Batman's Bracket","Maryland",32,"G4"
"68","Chalupa Batman's Bracket","Butler",32,"G5"
"69","Chalupa Batman's Bracket","Notre Dame",32,"G6"
"70","Chalupa Batman's Bracket","Wichita St.",32,"G7"
"71","Chalupa Batman's Bracket","Kansas",32,"G8"
"72","Chalupa Batman's Bracket","Wisconsin",32,"G9"
"73","Chalupa Batman's Bracket","Oregon",32,"G10"
"74","Chalupa Batman's Bracket","Arkansas",32,"G11"
"75","Chalupa Batman's Bracket","N. Carolina",32,"G12"
"76","Chalupa Batman's Bracket","Xavier",32,"G13"
"77","Chalupa Batman's Bracket","Baylor",32,"G14"
"78","Chalupa Batman's Bracket","Ohio St.",32,"G15"
"79","Chalupa Batman's Bracket","Arizona",32,"G16"
"80","Chalupa Batman's Bracket","Villanova",32,"G17"
"81","Chalupa Batman's Bracket","N.C. State",32,"G18"
"82","Chalupa Batman's Bracket","Northern Iowa",32,"G19"
"83","Chalupa Batman's Bracket","Louisville",32,"G20"
"84","Chalupa Batman's Bracket","Providence",32,"G21"
"85","Chalupa Batman's Bracket","Oklahoma",32,"G22"
"86","Chalupa Batman's Bracket","Michigan St.",32,"G23"
"87","Chalupa Batman's Bracket","Virginia",32,"G24"
"88","Chalupa Batman's Bracket","Duke",32,"G25"
"89","Chalupa Batman's Bracket","S. Diego St.",32,"G26"
"90","Chalupa Batman's Bracket","Utah",32,"G27"
"91","Chalupa Batman's Bracket","Georgetown",32,"G28"
"92","Chalupa Batman's Bracket","SMU",32,"G29"
"93","Chalupa Batman's Bracket","Iowa St.",32,"G30"
"94","Chalupa Batman's Bracket","Iowa",32,"G31"
"95","Chalupa Batman's Bracket","Gonzaga",32,"G32"
"96","Chalupa Batman's Bracket","Kentucky",16,"G33"
"97","Chalupa Batman's Bracket","Maryland",16,"G34"
"98","Chalupa Batman's Bracket","Notre Dame",16,"G35"
"99","Chalupa Batman's Bracket","Kansas",16,"G36"
"100","Chalupa Batman's Bracket","Wisconsin",16,"G37"
